ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0x68ed38529f4d81957cf30a3c441b93d321dcf14273c2e2f3aa32617bd1ac65fe,0xA7F63376169ccC087EB1160E62ceCcB146C1d555,closed,14177738,"['individual creates an address', 'committee with a multisig', 'individual sells NFT on partybid', 'committee sells NFT on partybid', 'submission to the UGP']","[13811.76622801051, 8028.525454760065, 3, 1, 58.039700282088155]",0.0
0xe3d59b3439ac0519b02ff39606e0ad571cc9fa7a05b334b6f87df09b2c883879,0x98e3623bCa45BF01D58E833811882777C8C015F8,closed,14172713,"['Yes, grant the license.', 'No, do not grant the license.']","[8370.853437946993, 1742.828494209686]",1001.0
0xbfeb7f3c4a3f1d4979b59129f9a78ee217183b0656a480612d261233fb3f8c62,0xFD4295c1A0b07e6b706f0Ab83dC9eB461b7f17B3,closed,14154289,"['Yes', 'No']","[3284888.2999831676, 403]",1019.7400186626963
0x4f42b3215c4028edd947dc69980a9b8ba837ffbe3d0caa60d999406d634c8e79,0xFD4295c1A0b07e6b706f0Ab83dC9eB461b7f17B3,closed,14031057,"['Yes', 'No']","[235389.28838682565, 423.95782696824176]",1019.7400186626963
0x1994d4598b81dbb511bc7068f65a12fdf0ddbf2b26f5b7313e087750c5f9c0b7,0x9997d7120862CEda99aB4a1c43698e0941F87b20,closed,13807789,"['YES', 'NO']","[10167.85688022227, 3012840.2050210303]",1000.5
0xc1aec11c9ac5698920072a5de807284a56becbadfb7bef68b2618ad00e61547c,0x79C4213a328E3B4F1D87b4953C14759399dB25E2,closed,13714511,"['Yes', 'No']","[19711622.200489502, 215036.99055142343]",0.0
0xe869bc63ed483f00c520129724934a206b433dec613a498100e25f9f10fbeac7,0xAc61FfD736EdF06D0E2CDFac99d22a189d9ad620,closed,13705628,"['Yes', 'No']","[44033742.1611962, 501031.9398521838]",1000.29
0xfb9841f0cd2111b078ffbcc9efe5a0d552907ee290b0851c8d69350b26530ed0,0x954933147Bf9e6a919C8822aE36D98868026606f,closed,13688268,"['support', 'veto']","[2511597.5915212566, 212094.64535303533]",1001.50415702
0x47a6eed75673f33e8eb5d7abbfc0279d8c113ec7fa51f8b61c1abcd66dc091c6,0xAc61FfD736EdF06D0E2CDFac99d22a189d9ad620,closed,13666370,"['Yes', 'No']","[7788589.570368258, 101]",1000.29
0xe377d2b8e245404c42a6892be4232e017bf44b7fcc2e72426aa95ea5a4e01783,0x79C4213a328E3B4F1D87b4953C14759399dB25E2,closed,13625669,"['Yes', 'No']","[14534706.092256058, 228604.70941194263]",0.0
