ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
QmNQBdxkjK5WCFUAKViXWT6utTDXXMYCQ2WU9BdoubdrNH,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13128706,"['YES, Allocate per recommendation', ""NO, Don't allocate this way""]","[402994.8569163063, 6961.7707634129765]",8424.064885672928
QmcmbqctnhMCaRHEBAAvz4jTk98bMV7ft6nozpv9tizpox,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13127714,"['Accept', 'Decline']","[400857.3220114531, 7.196190478102512]",8424.064885672928
QmRwUZdc4B7qP9Kfp7GtggRVunoydMVzqLaLkM6qc58ZXr,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13043277,"['Yes, Migrate to yDAI', 'No, Keep using yUSD']","[415513.7382258745, 3.49768e-19]",4044.1337729938273
QmZjCqA5581cBrys7T2Du8CN2R1FoKJbRP4J9rs7jcGaWu,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13043227,"['Yes, Move SET assets', 'No, Keep SET Assets']","[414814.32540128496, 0]",4044.1337729938273
QmYa5RuQNAFqNq3DuBv1G24izWB9LomKZE3Pq2DvAeb7db,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13043114,"['Yes, Rebalance the Treasury', ""No, Don't rebalance the Treasury""]","[410765.05012332235, 0]",4044.1337729938273
QmYHBSHrXS3zQCgmTnXUZhABqAyhkCnTmvUQQdj7oUL2aC,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,13036767,"['Approve', 'Deny']","[421617.7221751381, 3.49768e-19]",3517.3411717726153
QmZGnhAgS4Ve1Ceuv89WN8m425rZqyMy69RGVWuLCp4cUN,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,13004670,"['Approve', 'Deny']","[171689.1374321358, 1.7528033634056166]",3492.993001939006
QmdWUNk647Hcw5n5KWhEwRC3xQGBGXgv57r4kNUEHGLN5A,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,12869904,"['Remove Great YAM Wall', 'Keep Great Yam Wall']","[352464.39672103414, 44623.050941018126]",1738.7471304012345
QmYsh85TtsbczHxuTR7fpTFwpXMotSxk4YjwPAMGm8nbVz,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,12869743,"['Accept', 'Decline']","[378208.5093325406, 2040.9264751302553]",21575.629687103974
QmRLiSZdXJLNaejrgpAL5bqzYefMxc4JJJ1GZSg9GtiCSW,0x31920DF2b31B5f7ecf65BDb2c497DE31d299d472,closed,12855977,"['Approve, use existing Yam', 'Approve, mint new Yam', 'Decline']","[377638.17293426784, 65.25780432656495, 0]",3593.063918322128
